[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\085.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\085.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\086.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\086.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\087.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\087.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\088.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\088.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\089.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\089.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\090.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\090.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\091.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\091.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\092.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\092.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\093.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\093.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\094.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\094.jpg
